都道府県,居住世帯の有無,value
北海道,総数,2888500
青森県,総数,590300
岩手県,総数,579400
宮城県,総数,1129200
秋田県,総数,440600
山形県,総数,455400
福島県,総数,862900
茨城県,総数,1390900
栃木県,総数,971000
群馬県,総数,967400
埼玉県,総数,3555100
千葉県,総数,3191100
東京都,総数,8201400
神奈川県,総数,4765000
新潟県,総数,1015200
富山県,総数,473900
石川県,総数,554000
福井県,総数,341400
山梨県,総数,427000
長野県,総数,1039600
岐阜県,総数,924100
静岡県,総数,1774100
愛知県,総数,3664700
三重県,総数,873500
滋賀県,総数,664200
京都府,総数,1372200
大阪府,総数,4928600
兵庫県,総数,2798000
奈良県,総数,639500
和歌山県,総数,495600
鳥取県,総数,262300
島根県,総数,320300
岡山県,総数,955400
広島県,総数,1465500
山口県,総数,726400
徳島県,総数,389200
香川県,総数,492800
愛媛県,総数,736800
高知県,総数,388100
福岡県,総数,2703300
佐賀県,総数,367900
長崎県,総数,655000
熊本県,総数,851100
大分県,総数,603300
宮崎県,総数,556800
鹿児島県,総数,899600
沖縄県,総数,699400
北海道,空き家,451900
青森県,空き家,98800
岩手県,空き家,100400
宮城県,空き家,140300
秋田県,空き家,69500
山形県,空き家,61700
福島県,空き家,131000
茨城県,空き家,196200
栃木県,空き家,163700
群馬県,空き家,161300
埼玉県,空き家,330400
千葉県,空き家,394100
東京都,空き家,896500
神奈川県,空き家,467100
新潟県,空き家,155300
富山県,空き家,69700
石川県,空き家,86400
福井県,空き家,53100
山梨県,空き家,87200
長野県,空き家,208500
岐阜県,空き家,148400
静岡県,空き家,296300
愛知県,空き家,433000
三重県,空き家,142700
滋賀県,空き家,81600
京都府,空き家,180400
大阪府,空き家,701900
兵庫県,空き家,386900
奈良県,空き家,93600
和歌山県,空き家,105300
鳥取県,空き家,41300
島根県,空き家,54600
岡山県,空き家,157200
広島県,空き家,231400
山口県,空き家,140700
徳島県,空き家,83000
香川県,空き家,91500
愛媛県,空き家,145600
高知県,空き家,78700
福岡県,空き家,335300
佐賀県,空き家,53300
長崎県,空き家,113000
熊本県,空き家,127100
大分県,空き家,115500
宮崎県,空き家,90700
鹿児島県,空き家,184200
沖縄県,空き家,65400
